transaction_id,amount,transaction_type,account_age_days,num_prev_transactions,location_risk,device_type,is_fraud
52,149.22,cash_out,1588,195,medium,desktop,0
53,280.51,transfer,494,382,low,tablet,0
54,225.22,debit,1563,489,high,desktop,1
55,91.11,cash_out,1693,326,high,tablet,0
56,254.94,cash_out,751,85,medium,desktop,0
57,9.27,transfer,1180,288,high,desktop,0
58,21.81,cash_out,291,80,high,desktop,0
59,4.63,transfer,1672,151,high,tablet,0
60,39.35,cash_out,1168,60,medium,tablet,0
61,49.21,payment,106,60,medium,desktop,0
62,31.66,transfer,1444,353,high,mobile,0
63,176.46,cash_out,670,27,high,desktop,0
64,44.12,debit,1682,441,medium,tablet,0
65,32.98,cash_out,2,42,low,desktop,0
66,78.24,debit,1969,168,high,tablet,0
67,15.19,debit,589,422,low,tablet,0
68,162.05,payment,644,85,high,tablet,0
69,7.75,transfer,90,176,low,desktop,0
70,433.41,cash_out,1369,16,low,tablet,0
71,147.95,payment,350,97,low,tablet,0
72,22.15,cash_out,1483,453,medium,desktop,0
73,0.55,debit,1287,493,low,tablet,0
74,168.99,transfer,1375,197,low,desktop,0
75,122.71,cash_out,1132,97,low,tablet,0
76,130.57,cash_out,1610,64,high,mobile,0
77,147.52,debit,1063,329,low,mobile,0
78,7.69,cash_out,909,340,high,tablet,0
79,44.39,cash_out,159,4,low,mobile,1
80,12.32,debit,1607,1,low,desktop,1
81,198.85,payment,959,21,medium,mobile,0
82,97.63,debit,312,111,high,tablet,0
83,40.18,payment,1265,56,low,tablet,0
84,6.57,transfer,1962,65,high,desktop,0
85,37.25,payment,445,329,high,tablet,0
86,39.33,payment,298,97,medium,desktop,0
87,130.79,transfer,952,143,medium,mobile,0
88,101.49,payment,36,367,medium,mobile,0
89,218.23,debit,1108,434,medium,desktop,0
90,63.91,payment,1476,124,medium,desktop,0
91,12.74,transfer,1910,166,medium,tablet,0
92,124.91,debit,1799,85,medium,mobile,0
93,143.04,transfer,1846,75,medium,desktop,0
94,82.39,transfer,1409,343,low,mobile,0
95,147.39,cash_out,1196,494,high,desktop,0
96,68.08,cash_out,1400,423,medium,mobile,0
97,73.97,transfer,1709,293,medium,tablet,0
98,55.78,transfer,1386,443,high,mobile,0
99,2.57,transfer,559,58,low,mobile,0
100,11.42,cash_out,891,137,high,mobile,0
101,3.19,cash_out,141,98,high,mobile,0
102,101.17,payment,887,191,medium,mobile,0
103,37.74,payment,1942,242,high,tablet,0
104,71.04,transfer,1142,318,high,desktop,0
105,238.13,debit,1301,48,medium,mobile,0
106,28.67,debit,726,447,medium,tablet,0
107,52.83,cash_out,1244,31,medium,mobile,0
108,140.87,cash_out,1929,390,medium,mobile,0
109,25.98,cash_out,1050,276,high,desktop,0
110,8.01,transfer,521,19,high,mobile,0
111,34.21,debit,1807,153,low,tablet,0
112,17.58,payment,10,382,low,tablet,0
113,265.5,transfer,984,67,high,desktop,1
114,165.09,payment,378,365,low,mobile,0
115,100.35,payment,1657,371,high,tablet,0
116,205.15,transfer,1661,213,low,mobile,0
117,162.8,payment,682,142,medium,mobile,0
118,20.65,debit,584,375,low,mobile,0
119,223.08,payment,152,231,medium,desktop,0
120,77.51,debit,720,212,medium,mobile,0
121,164.73,debit,1073,78,medium,tablet,0
122,226.42,debit,1178,213,medium,mobile,0
123,38.27,cash_out,859,115,low,tablet,0
124,11.66,payment,1317,91,high,mobile,0
125,25.87,transfer,1604,269,medium,tablet,0
126,55.71,transfer,50,410,low,tablet,0
127,170.38,payment,664,380,medium,mobile,0
128,197.13,cash_out,531,488,low,mobile,0
129,0.7,cash_out,1636,167,low,tablet,0
130,71.49,debit,1084,57,low,desktop,0
131,54.03,payment,1191,283,high,mobile,0
132,25.12,payment,1226,25,low,desktop,0
133,12.77,transfer,857,368,low,mobile,0
134,41.19,payment,146,446,high,mobile,0
135,286.31,cash_out,915,65,high,mobile,1
136,39.04,payment,1700,408,low,mobile,0
137,73.15,transfer,1994,247,high,desktop,0
138,121.41,debit,993,253,medium,mobile,0
139,45.2,transfer,1463,386,medium,tablet,0
140,356.78,transfer,242,455,high,tablet,1
141,328.2,debit,581,43,high,desktop,1
142,29.01,transfer,687,96,low,mobile,0
143,68.77,transfer,1585,41,high,tablet,0
144,35.79,payment,483,499,low,desktop,0
145,33.52,payment,1132,226,medium,mobile,0
146,3.76,debit,1250,261,high,tablet,0
147,94.05,payment,673,166,low,tablet,0
148,69.85,payment,631,435,low,desktop,0
149,5.29,transfer,661,278,medium,mobile,0
150,32.66,cash_out,662,88,high,mobile,0
151,238.89,payment,1456,378,medium,tablet,0
152,27.39,cash_out,805,177,low,tablet,0
153,15.65,payment,1679,426,low,tablet,0
154,67.23,payment,419,402,high,mobile,0
155,424.4,debit,988,196,low,desktop,0
156,27.71,debit,1479,306,high,desktop,0
157,111.52,debit,1184,266,medium,mobile,0
158,143.39,cash_out,1547,267,high,desktop,0
159,27.13,transfer,650,73,high,tablet,0
160,130.27,payment,969,7,low,desktop,0
161,45.85,payment,590,407,low,desktop,0
162,100.05,payment,1101,475,high,desktop,0
163,100.38,cash_out,509,296,low,tablet,0
164,76.74,debit,441,163,low,mobile,0
165,9.46,transfer,1278,484,low,tablet,0
166,180.36,cash_out,921,84,high,mobile,0
167,38.68,debit,770,71,low,mobile,0
168,20.64,cash_out,1344,54,high,mobile,0
169,4.16,transfer,1827,392,low,desktop,0
170,89.38,debit,263,46,medium,desktop,0
171,113.19,cash_out,1621,398,low,mobile,0
172,1.67,transfer,1682,431,low,mobile,0
173,71.76,payment,1859,237,high,desktop,0
174,25.68,transfer,1578,103,high,tablet,0
175,103.61,payment,1398,209,low,mobile,0
176,19.16,cash_out,637,41,medium,tablet,0
177,117.42,debit,1191,315,low,desktop,0
178,48.9,debit,1961,467,low,mobile,0
179,276.03,cash_out,1777,453,medium,tablet,0
180,14.79,debit,459,267,high,tablet,0
181,41.71,debit,999,385,low,tablet,0
182,12.04,payment,1304,262,high,desktop,0
183,258.62,cash_out,700,335,high,desktop,1
184,209.83,transfer,302,386,medium,tablet,0
185,29.83,payment,1555,364,medium,tablet,0
186,107.88,cash_out,1604,258,high,desktop,0
187,169.95,payment,1242,282,low,tablet,0
188,81.01,transfer,1126,113,high,tablet,0
189,75.43,transfer,554,362,low,desktop,0
190,27.69,cash_out,288,39,low,tablet,0
191,9.77,transfer,1191,485,medium,tablet,0
192,227.51,payment,621,416,low,tablet,0
193,230.68,transfer,1006,219,low,desktop,0
194,100.27,payment,36,128,high,tablet,0
195,41.4,payment,744,7,medium,desktop,0
196,42.96,transfer,1765,100,low,desktop,0
197,129.45,cash_out,353,415,low,mobile,0
198,227.41,debit,1700,379,medium,mobile,0
199,218.11,transfer,1923,175,high,tablet,1
200,151.36,payment,73,106,medium,desktop,0
201,102.73,payment,648,100,medium,mobile,0
202,8.79,transfer,1377,259,low,tablet,0
203,17.63,cash_out,1915,477,low,mobile,0
204,228.82,cash_out,1094,453,high,mobile,1
205,93.25,payment,425,365,low,desktop,0
206,0.92,payment,999,245,low,desktop,0
207,10.7,cash_out,708,274,medium,mobile,0
208,108.92,debit,1805,31,low,mobile,0
209,0.51,transfer,561,136,high,desktop,0
210,17.53,payment,828,11,medium,tablet,0
211,79.57,payment,1666,394,high,desktop,0
212,117.73,cash_out,956,301,medium,mobile,0
213,105.54,transfer,517,374,low,tablet,0
214,25.39,cash_out,428,15,medium,mobile,0
215,124.54,transfer,1563,128,medium,tablet,0
216,27.08,transfer,160,62,low,mobile,0
217,39.36,transfer,149,108,low,tablet,0
218,137.24,payment,776,374,high,tablet,0
219,104.88,debit,1254,20,high,mobile,0
220,189.2,cash_out,1736,157,low,tablet,0
221,107.18,debit,1586,268,low,desktop,0
222,84,cash_out,67,161,low,mobile,0
223,9.84,transfer,1014,259,medium,desktop,0
224,45.84,payment,1836,411,medium,mobile,0
225,30.82,debit,381,101,medium,tablet,0
226,27.97,payment,58,222,low,tablet,0
227,361.23,cash_out,1283,58,high,tablet,1
228,49.94,payment,342,246,low,mobile,0
229,222.61,payment,1862,127,medium,desktop,0
230,99.73,debit,1154,282,medium,desktop,0
231,158.38,transfer,727,324,low,mobile,0
232,69.84,payment,1196,24,low,mobile,0
233,86.02,transfer,770,130,medium,desktop,0
234,67.83,cash_out,614,352,medium,desktop,0
235,21.72,payment,1233,195,medium,desktop,0
236,128.18,debit,1827,280,low,desktop,0
237,32.96,cash_out,354,403,medium,mobile,0
238,2.46,cash_out,1495,417,medium,mobile,0
239,103.7,debit,1822,153,high,tablet,0
240,19.49,payment,116,381,low,desktop,0
241,282.11,payment,1288,132,high,tablet,1
242,307.76,cash_out,662,226,high,mobile,1
243,246.35,payment,1836,188,medium,mobile,0
244,46.23,transfer,1466,475,low,tablet,0
245,1.56,debit,1572,476,medium,desktop,0
246,263.55,transfer,453,264,low,desktop,0
247,55.89,payment,1869,371,high,desktop,0
248,340.08,cash_out,1501,485,low,desktop,0
249,331.37,debit,287,433,medium,tablet,0
250,191.74,payment,1327,133,medium,tablet,0
251,34.88,payment,1017,210,medium,mobile,0
252,48.63,cash_out,311,59,low,desktop,0
253,190.47,cash_out,208,427,high,desktop,0
254,38.11,transfer,618,376,high,desktop,0
255,18.57,debit,446,394,low,tablet,0
256,81.37,debit,670,449,medium,desktop,0
257,275.13,cash_out,633,430,high,tablet,1
258,119.08,transfer,55,363,medium,desktop,0
259,84.41,debit,912,363,low,desktop,0
260,10.22,cash_out,1036,456,medium,mobile,0
261,95.45,payment,657,212,high,desktop,0
262,461.06,debit,1424,215,high,desktop,1
263,15.09,transfer,1932,225,medium,mobile,0
264,73.05,transfer,1672,469,low,tablet,0
265,209.86,transfer,980,130,medium,tablet,0
266,135,payment,515,75,low,desktop,0
267,119.41,debit,1680,475,medium,tablet,0
268,121.23,debit,1566,285,high,desktop,0
269,44.55,payment,237,473,low,mobile,0
270,34.76,debit,1303,495,low,mobile,0
271,165.74,payment,348,276,low,desktop,0
272,166.13,payment,627,155,high,mobile,0
273,201.8,payment,1128,247,medium,mobile,0
274,244.46,transfer,630,217,high,desktop,1
275,71.61,debit,1541,189,low,desktop,0
276,69.62,payment,1896,416,medium,mobile,0
277,160.09,debit,1272,468,high,tablet,0
278,104.97,transfer,364,162,low,tablet,0
279,121.06,payment,321,179,low,desktop,0
280,158.86,cash_out,1657,33,high,desktop,0
281,220.73,transfer,286,40,high,tablet,1
282,41.25,cash_out,149,306,high,mobile,0
283,47.09,debit,1108,430,low,tablet,0
284,9.87,debit,1990,337,high,tablet,0
285,86.34,transfer,406,313,low,tablet,0
286,3.66,debit,978,74,high,tablet,0
287,62.66,cash_out,456,440,low,desktop,0
288,78.23,payment,1767,278,low,desktop,0
289,33.76,payment,800,175,medium,mobile,0
290,89.36,payment,1185,383,high,mobile,0
291,3.1,transfer,1013,149,high,mobile,0
292,3.81,debit,784,272,low,mobile,0
293,172.94,cash_out,460,324,low,tablet,0
294,44.66,debit,1574,107,low,desktop,0
295,13.59,debit,1524,138,medium,desktop,0
296,73.87,debit,738,349,medium,mobile,0
297,146.96,payment,509,270,low,mobile,0
298,24.31,cash_out,1678,346,high,tablet,0
299,97.52,cash_out,1828,418,high,tablet,0
300,8.92,debit,481,288,medium,mobile,0
301,5.31,payment,1687,211,medium,desktop,0
302,75.79,payment,114,380,low,desktop,0
303,77.79,cash_out,749,271,high,desktop,0
304,101.45,payment,1602,417,low,mobile,0
305,129.5,payment,361,65,medium,desktop,0
306,372.36,payment,341,482,high,tablet,1
307,72.63,transfer,770,423,high,tablet,0
308,39,debit,761,247,medium,mobile,0
309,158.57,cash_out,969,155,low,tablet,0
310,31.59,cash_out,449,46,low,mobile,0
311,57.8,transfer,1867,422,high,desktop,0
312,8.17,debit,835,453,medium,desktop,0
313,2.57,cash_out,1204,200,high,desktop,0
314,328.74,payment,1726,147,medium,tablet,0
315,180.78,cash_out,1431,123,low,mobile,0
316,119.06,payment,1690,0,medium,desktop,1
317,52.59,transfer,1220,455,low,mobile,0
318,19.03,payment,1490,246,medium,desktop,0
319,17.01,cash_out,311,342,high,tablet,0
320,28.8,cash_out,262,127,low,tablet,0
321,79.68,cash_out,1443,190,high,mobile,0
322,125.38,transfer,406,66,high,tablet,0
323,107.94,transfer,1963,3,low,tablet,1
324,32.84,debit,143,441,low,mobile,0
325,309.81,cash_out,342,408,high,desktop,1
326,133.9,payment,1340,302,high,tablet,0
327,80.82,transfer,1125,293,high,mobile,0
328,94.6,cash_out,244,142,high,tablet,0
329,54.4,cash_out,490,190,low,tablet,0
330,28.47,transfer,12,20,low,tablet,0
331,44,debit,1263,226,high,tablet,0
332,141.82,transfer,561,312,medium,mobile,0
333,1.45,transfer,42,116,medium,mobile,0
334,12.34,payment,678,436,low,mobile,0
335,4.71,payment,594,301,high,tablet,0
336,4.16,debit,1453,499,high,tablet,0
337,193.42,cash_out,1827,141,low,tablet,0
338,121.62,transfer,1182,483,medium,mobile,0
339,64.28,debit,1240,459,medium,tablet,0
340,10.3,payment,1694,400,medium,desktop,0
341,67.65,transfer,1486,38,low,tablet,0
342,64.15,cash_out,134,392,medium,desktop,0
343,19.02,payment,1091,354,low,tablet,0
344,56.89,payment,1872,251,low,mobile,0
345,50.83,payment,1031,332,high,tablet,0
346,95.67,debit,948,206,medium,desktop,0
347,100.81,cash_out,1550,209,low,desktop,0
348,4.64,transfer,73,114,medium,tablet,0
349,46.94,debit,399,224,medium,desktop,0
350,98.31,debit,1429,133,high,desktop,0
351,69.94,debit,1699,250,medium,mobile,0
352,194.13,payment,578,218,high,tablet,0
353,107.5,cash_out,859,406,low,tablet,0
354,17.79,debit,130,442,medium,tablet,0
355,7.32,transfer,931,90,low,desktop,0
356,102.84,cash_out,1490,353,medium,tablet,0
357,2.69,transfer,1230,375,low,tablet,0
358,88.13,cash_out,1812,45,medium,mobile,0
359,281.73,transfer,1792,37,medium,mobile,0
360,85.68,payment,266,141,medium,mobile,0
361,49.13,debit,1561,99,medium,desktop,0
362,103.08,transfer,1986,327,medium,tablet,0
363,61.3,cash_out,793,189,medium,mobile,0
364,78.88,debit,253,34,medium,mobile,0
365,283.81,debit,822,146,medium,mobile,0
366,48.79,cash_out,1313,29,medium,tablet,0
367,324.91,transfer,164,333,low,tablet,0
368,235.76,payment,95,83,high,tablet,1
369,21.79,payment,1806,368,medium,desktop,0
370,7.19,transfer,833,280,high,desktop,0
371,10.62,debit,1134,423,medium,mobile,0
372,1.84,debit,336,343,medium,tablet,0
373,9.92,debit,822,269,low,mobile,0
374,114.89,debit,238,153,low,tablet,0
375,7.38,transfer,381,101,high,tablet,0
376,38.42,debit,1460,214,low,tablet,0
377,186.35,cash_out,899,149,low,desktop,0
378,2.35,debit,483,431,high,desktop,0
379,168.45,payment,1961,82,low,tablet,0
380,33.11,debit,902,109,medium,mobile,0
381,12.58,transfer,1049,434,high,tablet,0
382,119.32,payment,1677,386,high,tablet,0
383,99.14,transfer,1141,425,medium,mobile,0
384,209.94,transfer,482,274,low,tablet,0
385,132.83,payment,1416,200,high,mobile,0
386,162.7,transfer,917,283,high,desktop,0
387,33.13,transfer,994,467,medium,desktop,0
388,19.53,debit,964,172,medium,mobile,0
389,138.88,cash_out,537,326,low,desktop,0
390,164.42,transfer,1103,205,high,desktop,0
391,465.7,transfer,1604,62,low,mobile,0
392,53.21,transfer,1197,72,low,desktop,0
393,46.52,debit,1980,250,medium,tablet,0
394,149.8,cash_out,1036,123,high,tablet,0
395,41.67,payment,1824,374,high,mobile,0
396,267.01,debit,128,120,high,desktop,1
397,195.48,debit,1632,274,medium,tablet,0
398,56.04,cash_out,92,430,medium,tablet,0
399,138.98,cash_out,1677,499,medium,desktop,0
400,140.46,debit,543,397,medium,desktop,0
401,10.88,payment,846,119,medium,tablet,0
402,232.84,debit,1556,421,high,tablet,1
403,70.37,cash_out,1682,436,low,mobile,0
404,175.13,payment,989,316,high,mobile,0
405,38.57,cash_out,1852,163,low,tablet,0
406,225.88,payment,447,423,medium,mobile,0
407,49.3,transfer,390,464,low,tablet,0
408,1.09,cash_out,672,285,high,tablet,0
409,235.79,cash_out,1885,264,high,mobile,1
410,9.57,debit,43,319,low,mobile,0
411,38.47,cash_out,254,160,medium,desktop,0
412,299.7,cash_out,1154,375,medium,desktop,0
413,300.79,transfer,1084,307,high,desktop,1
414,85.2,cash_out,663,88,low,tablet,0
415,99.92,transfer,467,141,medium,mobile,0
416,59.5,transfer,287,202,medium,tablet,0
417,34.7,transfer,1011,308,high,mobile,0
418,39.85,transfer,1541,226,medium,tablet,0
419,111.63,payment,1491,488,low,desktop,0
420,139.58,debit,1954,442,high,desktop,0
421,156.82,payment,778,333,high,desktop,0
422,155.88,cash_out,345,221,low,tablet,0
423,9.56,payment,642,40,high,mobile,0
424,68.2,payment,382,195,medium,mobile,0
425,5.93,cash_out,1803,67,medium,desktop,0
426,79.75,cash_out,690,475,low,desktop,0
427,58.26,cash_out,1277,263,medium,desktop,0
428,218.66,payment,1951,1,low,desktop,1
429,43.22,payment,1080,360,low,mobile,0
430,12.45,cash_out,1487,124,medium,tablet,0
431,15.43,debit,457,109,low,tablet,0
432,143.34,debit,983,85,medium,tablet,0
433,96.29,transfer,83,424,high,tablet,0
434,10.66,cash_out,1929,119,high,desktop,0
435,8.79,transfer,1123,126,low,desktop,0
436,120.72,debit,149,254,medium,desktop,0
437,7.55,transfer,1353,182,medium,tablet,0
438,172.52,cash_out,1180,15,high,desktop,0
439,122.5,cash_out,190,476,high,desktop,0
440,8.48,cash_out,1518,61,medium,mobile,0
441,8.87,payment,883,368,low,mobile,0
442,431.55,transfer,263,431,high,desktop,1
443,46.88,debit,1104,157,low,mobile,0
444,46.31,debit,400,267,low,mobile,0
445,167.56,debit,764,34,high,desktop,0
446,294.22,payment,609,266,low,desktop,0
447,426.88,payment,1284,63,low,desktop,0
448,139.99,cash_out,1796,493,medium,desktop,0
449,47.2,debit,1639,49,low,tablet,0
450,8.72,payment,1576,468,medium,tablet,0
451,150.12,cash_out,785,254,high,desktop,0
452,81.74,debit,101,148,high,mobile,0
453,55.2,transfer,1383,324,medium,desktop,0
454,236.82,cash_out,1404,303,high,desktop,1
455,11.79,payment,820,275,low,mobile,0
456,67.85,payment,1245,356,low,tablet,0
457,1.14,cash_out,820,450,low,desktop,0
458,63.24,cash_out,420,171,high,desktop,0
459,5.8,payment,124,416,low,tablet,0
460,12.65,transfer,422,200,high,tablet,0
461,12.5,debit,1255,444,low,mobile,0
462,104.76,transfer,1714,392,medium,tablet,0
463,137.06,cash_out,1087,323,high,tablet,0
464,87.56,transfer,1509,34,high,tablet,0
465,327.47,payment,1652,464,low,mobile,0
466,46.98,cash_out,1727,481,high,tablet,0
467,33.65,debit,1598,215,high,tablet,0
468,202.95,payment,768,479,medium,mobile,0
469,25.31,payment,483,64,medium,tablet,0
470,330.29,debit,519,7,low,tablet,0
471,1.22,debit,155,300,medium,mobile,0
472,350.25,transfer,92,342,low,desktop,0
473,4.41,cash_out,982,430,low,mobile,0
474,221.77,debit,1550,423,low,tablet,0
475,75.01,debit,455,331,high,tablet,0
476,495.68,cash_out,1765,437,medium,tablet,0
477,7.67,debit,598,75,low,mobile,0
478,80.71,debit,1669,173,medium,tablet,0
479,348.36,transfer,510,46,low,tablet,0
480,74.04,payment,1207,14,medium,mobile,0
481,99.26,payment,386,360,medium,desktop,0
482,118.99,payment,1598,146,low,desktop,0
483,60.61,payment,1755,25,high,tablet,0
484,98.77,debit,405,307,medium,mobile,0
485,87.78,cash_out,246,92,high,tablet,0
486,231.42,cash_out,742,405,high,mobile,1
487,4.65,transfer,1615,231,low,mobile,0
488,32.98,transfer,661,20,low,desktop,0
489,300.4,debit,650,306,low,desktop,0
490,220.97,cash_out,1495,37,medium,mobile,0
491,60.82,cash_out,1850,275,low,tablet,0
492,96.79,payment,1912,156,low,desktop,0
493,32.49,debit,1447,178,medium,tablet,0
494,20.84,debit,901,131,medium,desktop,0
495,62.31,payment,65,310,low,desktop,0
496,43.6,debit,1037,454,low,tablet,0
497,87.62,debit,213,347,low,desktop,0
498,8.09,transfer,242,27,low,desktop,0
499,366.5,cash_out,493,259,high,tablet,1
500,428.39,debit,1237,405,high,desktop,1
501,119.79,transfer,1717,75,low,desktop,0
502,76.81,cash_out,338,428,high,desktop,0
503,37.04,payment,173,66,medium,tablet,0
504,168.09,transfer,672,341,high,mobile,0
505,115.43,transfer,164,491,high,tablet,0
506,17.75,cash_out,465,193,low,mobile,0
507,241.83,payment,995,471,high,desktop,1
508,172.9,transfer,497,161,high,mobile,0
509,299.17,debit,700,346,high,tablet,1
510,129.36,debit,395,438,high,tablet,0
511,95.04,debit,703,360,medium,desktop,0
512,54.17,payment,1941,256,low,mobile,0
513,269.9,transfer,308,71,low,desktop,0
514,201.04,debit,1792,86,medium,desktop,0
515,4.63,payment,183,421,high,tablet,0
516,2.67,debit,629,261,medium,mobile,0
517,47.23,cash_out,1818,213,high,mobile,0
518,166.36,transfer,510,152,medium,mobile,0
519,436.43,transfer,1732,209,low,mobile,0
520,16.3,payment,546,400,low,desktop,0
521,90.17,payment,1588,60,low,desktop,0
522,47.95,transfer,624,267,high,tablet,0
523,350.37,debit,1788,261,high,desktop,1
524,184.59,debit,594,217,medium,desktop,0
525,182.22,cash_out,744,282,medium,tablet,0
526,63.24,debit,1251,135,low,tablet,0
527,53.58,payment,1769,466,high,tablet,0
528,31.94,payment,1757,379,medium,desktop,0
529,5.8,debit,1460,361,high,desktop,0
530,200.04,payment,1949,448,high,tablet,1
531,167.61,transfer,1446,440,low,tablet,0
532,817.24,transfer,554,92,low,tablet,0
533,569.49,debit,21,108,high,desktop,1
534,81.07,transfer,554,240,high,desktop,0
535,146.53,transfer,397,354,high,mobile,0
536,289.62,cash_out,625,423,high,desktop,1
537,189.48,cash_out,105,141,low,desktop,0
538,28.42,transfer,192,290,medium,desktop,0
539,59.88,debit,17,431,low,tablet,0
540,13.83,cash_out,1144,236,medium,desktop,0
541,308.02,payment,393,339,high,tablet,1
542,93.18,payment,425,311,medium,mobile,0
543,25.96,payment,129,176,low,mobile,0
544,111.38,debit,1154,140,low,tablet,0
545,96.27,transfer,572,188,high,tablet,0
546,44.34,payment,1584,485,low,tablet,0
547,12.05,debit,29,48,high,desktop,0
548,111.34,cash_out,1121,301,low,mobile,0
549,73.46,transfer,1034,368,low,tablet,0
550,147.98,cash_out,242,189,high,desktop,0
551,73.43,debit,1850,135,medium,mobile,0
552,191.18,payment,1980,42,low,desktop,0
553,80.28,payment,232,403,medium,mobile,0
554,82.31,debit,789,379,low,desktop,0
555,209.28,payment,1308,352,low,mobile,0
556,51.66,transfer,715,89,low,mobile,0
557,14.39,debit,759,294,low,desktop,0
558,2.92,cash_out,802,340,medium,tablet,0
559,140.71,debit,776,244,medium,mobile,0
560,96.84,transfer,1979,432,low,tablet,0
561,121.77,transfer,726,191,low,desktop,0
562,23.95,debit,200,317,medium,tablet,0
563,14.66,debit,945,105,high,tablet,0
564,1.47,payment,79,362,high,tablet,0
565,43.17,transfer,1937,309,medium,tablet,0
566,89.14,debit,956,381,low,tablet,0
567,49.8,debit,1879,232,low,mobile,0
568,57.53,transfer,856,264,high,mobile,0
569,234.51,debit,1197,343,high,mobile,1
570,42.81,payment,467,36,medium,desktop,0
571,72.15,transfer,581,304,high,tablet,0
572,153.09,payment,1440,40,medium,mobile,0
573,50.51,payment,940,16,high,desktop,0
574,97.31,payment,449,343,high,mobile,0
575,198.31,payment,87,276,high,mobile,0
576,298.62,transfer,101,306,low,tablet,0
577,15.91,payment,1032,58,low,desktop,0
578,261.17,payment,845,422,low,tablet,0
579,67.75,debit,1224,182,high,tablet,0
580,29.87,transfer,1529,40,medium,mobile,0
581,61.46,transfer,87,38,medium,tablet,0
582,391.37,cash_out,43,396,medium,desktop,0
583,67.85,transfer,1409,191,medium,tablet,0
584,39.86,transfer,1645,266,low,tablet,0
585,100.35,cash_out,1459,493,low,tablet,0
586,27.46,transfer,408,146,high,mobile,0
587,7.89,transfer,1507,394,high,desktop,0
588,13.8,transfer,664,332,medium,mobile,0
589,13.7,transfer,1041,126,low,mobile,0
590,16.48,cash_out,1669,45,medium,mobile,0
591,14.95,transfer,148,44,high,mobile,0
592,102.41,transfer,277,0,high,mobile,1
593,20.07,cash_out,232,167,medium,desktop,0
594,42.41,debit,1850,107,high,tablet,0
595,227.1,payment,1951,18,medium,mobile,0
596,64.24,debit,366,331,low,mobile,0
597,110.13,cash_out,1252,71,medium,desktop,0
598,18.91,payment,1675,455,low,desktop,0
599,21.36,cash_out,436,444,low,tablet,0
600,4.17,cash_out,399,108,high,desktop,0
601,18.5,transfer,1235,267,high,tablet,0
602,32.65,payment,1415,444,high,mobile,0
603,19.48,transfer,499,239,medium,mobile,0
604,9.29,payment,540,416,medium,tablet,0
605,12.86,cash_out,563,300,high,desktop,0
606,61.76,cash_out,1515,89,medium,tablet,0
607,23.11,debit,442,102,high,desktop,0
608,45.3,payment,1285,475,medium,mobile,0
609,70,transfer,773,249,low,desktop,0
610,117.25,debit,350,452,low,tablet,0
611,4.01,debit,1376,7,high,tablet,0
612,160.65,debit,520,152,medium,mobile,0
613,98.86,transfer,1344,346,medium,desktop,0
614,8.53,debit,138,173,low,desktop,0
615,206.81,transfer,1574,342,low,desktop,0
616,253.67,debit,1647,157,high,mobile,1
617,6.3,transfer,992,492,low,desktop,0
